scrape_date,scraped_at,model_slug,permaslug,variant,weighted_input_price,weighted_output_price,weighted_cache_hit_rate,provider_name,provider_slug,effective_input_price,effective_output_price,cache_hit_rate,total_tokens
2026-08-01,2026-08-01T16:01:56+00:00,01-ai/yi-1.5-34b-chat,01-ai/yi-1.5-34b-chat,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,01-ai/yi-34b,01-ai/yi-34b,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,01-ai/yi-34b-200k,01-ai/yi-34b-200k,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,01-ai/yi-34b-chat,01-ai/yi-34b-chat,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,01-ai/yi-6b,01-ai/yi-6b,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,01-ai/yi-large,01-ai/yi-large,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,01-ai/yi-large-fc,01-ai/yi-large-fc,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,01-ai/yi-large-turbo,01-ai/yi-large-turbo,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,01-ai/yi-vision,01-ai/yi-vision,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,aetherwiing/mn-starcannon-12b,aetherwiing/mn-starcannon-12b,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,agentica-org/deepcoder-14b-preview,agentica-org/deepcoder-14b-preview,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,ai21/jamba-1-5-large,ai21/jamba-1-5-large,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,ai21/jamba-1-5-mini,ai21/jamba-1-5-mini,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,ai21/jamba-1.6-large,ai21/jamba-1.6-large,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,ai21/jamba-1.6-mini,ai21/jamba-1.6-mini,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,ai21/jamba-instruct,ai21/jamba-instruct,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,ai21/jamba-large-1.7,ai21/jamba-large-1.7,standard,2,8.000000000000002,0,AI21,ai21,2,8.000000000000002,0,6537236
2026-08-01,2026-08-01T16:01:56+00:00,ai21/jamba-mini-1.7,ai21/jamba-mini-1.7,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,aion-labs/aion-1.0,aion-labs/aion-1.0,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,aion-labs/aion-1.0-mini,aion-labs/aion-1.0-mini,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,0.46541468619179993,1.5996373435514586,0.5575810611313388,AionLabs,aion-labs,0.46541468619179993,1.5996373435514586,0.5575810611313388,255912724
2026-08-01,2026-08-01T16:01:56+00:00,aion-labs/aion-3.0,aion-labs/aion-3.0-20260707,standard,1.6737154318137561,6,0.5894565590365799,AionLabs,aion-labs,1.6737154318137561,6,0.5894565590365799,689390328
2026-08-01,2026-08-01T16:01:56+00:00,aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini-20260707,standard,0.384937639289071,1.3996111038492671,0.6058215003863635,AionLabs,aion-labs,0.384937639289071,1.3996111038492671,0.6058215003863635,192982920
2026-08-01,2026-08-01T16:01:56+00:00,aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,standard,0.7996064690528877,1.5944129201222172,0,AionLabs,aion-labs,0.7996064690528877,1.5944129201222172,0,368031
2026-08-01,2026-08-01T16:01:56+00:00,alfredpros/codellama-7b-instruct-solidity,alfredpros/codellama-7b-instruct-solidity,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,alibaba/happyhorse-1.0,alibaba/happyhorse-1.0-20260624,standard,0,0,0,Alibaba Cloud Int.,alibaba,0,0,0,0
2026-08-01,2026-08-01T16:01:56+00:00,alibaba/happyhorse-1.1,alibaba/happyhorse-1.1-20260624,standard,0,0,0,Alibaba Cloud Int.,alibaba,0,0,0,0
2026-08-01,2026-08-01T16:01:56+00:00,alibaba/tongyi-deepresearch-30b-a3b,alibaba/tongyi-deepresearch-30b-a3b,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,alibaba/wan-2.6,alibaba/wan-2.6-20260327,standard,0,0,0,AtlasCloud,atlas-cloud,0,0,0,0
2026-08-01,2026-08-01T16:01:56+00:00,alibaba/wan-2.7,alibaba/wan-2.7-20260414,standard,0,0,0,AtlasCloud,atlas-cloud,0,0,0,0
2026-08-01,2026-08-01T16:01:56+00:00,all-hands/openhands-lm-32b-v0.1,all-hands/openhands-lm-32b-v0.1,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,allenai/llama-3.1-tulu-3-405b,allenai/llama-3.1-tulu-3-405b,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,allenai/molmo-2-8b,allenai/molmo-2-8b-20260109,standard,0,0,0,,,,,,
2026-08-01,2026-08-01T16:01:56+00:00,allenai/olmo-2-0325-32b-instruct,allenai/olmo-2-0325-32b-instruct,standard,0,0,0,,,,,,
