date,model_permaslug,variant,total_prompt_tokens,total_completion_tokens,total_native_tokens_reasoning,total_native_tokens_cached,request_count,total_tool_calls,requests_with_tool_call_errors,num_media_prompt,num_media_completion,image_output_requests,last_scraped_at
2026-06-21,anthropic/claude-3-5-haiku,standard,0,0,0,0,2,0,0,0,0,0,2026-07-21T16:24:19+00:00
2026-06-22,nex-agi/nex-n2-pro,free,4483303803,277966371,0,0,115743,0,0,0,0,0,2026-07-22T16:21:05+00:00
2026-06-23,essentialai/rnj-1-instruct,standard,636427,84808,0,0,933,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-06-23,prime-intellect/intellect-3-20251126,standard,1658169,339314,0,0,806,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-06-29,anthropic/claude-4.6-opus-fast-20260407,standard,933550876,20277310,0,0,43115,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-06-30,microsoft/phi-4-mini-instruct,standard,342867987,185975965,0,0,1984476,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-06-30,openrouter/owl-alpha,standard,3745995108696,28296088504,0,0,62955300,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-06-30,sourceful/riverflow-v2-fast-preview,standard,137682,2041575,0,0,489,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-06-30,sourceful/riverflow-v2-max-preview,standard,238741,1260850,0,0,302,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-06-30,sourceful/riverflow-v2-standard-preview,standard,1146795,5051750,0,0,1210,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-03,aion-labs/aion-1.0-mini,standard,13330800,4020998,0,0,9939,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-05,aion-labs/aion-1.0,standard,20259604,7205998,0,0,27488,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-06,text-embedding-3-small,standard,117568,0,0,0,1057,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-07,liquid/lfm-2.5-1.2b-instruct-20260120,standard,33514,6539,0,0,10,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-07,liquid/lfm-2.5-1.2b-thinking-20260120,standard,34346573,1072352,0,0,1892,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-09,google/gemini-2.5-flash-lite-preview-09-2025,standard,45627227138,4173145449,0,0,13836437,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-09,liquid/lfm-2-24b-a2b-20260224,standard,16955921013,228802418,0,0,8101041,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-09,poolside/laguna-xs.2-20260421,free,183612374440,4069242621,0,0,5009475,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-09,poolside/laguna-xs.2-20260421,standard,16852939573,122138761,0,0,380694,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-09,switchpoint/router,standard,3861366,380100,0,0,15643,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-10,arcee-ai/trinity-mini-20251201,standard,569174404,131426081,0,0,193724,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-10,liquid/lfm-2.5-1.2b-thinking-20260120,free,4012878189,1000309935,0,0,937020,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-11,meta-llama/llama-3-8b-instruct,standard,1128022610,150297258,0,0,1565909,0,0,0,0,0,2026-07-23T16:28:03+00:00
2026-07-12,liquid/lfm-2.5-1.2b-instruct-20260120,free,2157604638,459136620,0,0,1244431,0,0,0,0,0,2026-07-23T16:28:03+00:00
